,rating,reviews,extracted_price,asin,title,link_clean,thumbnail,delivery,scrape_date,display_size,ram,disk_size,operating_system
302,4.6,102.0,717.0,B0DWSG1N27,"Samsung Galaxy Book4 Business Laptop, 15.6"" FHD LED Display, Copilot AI PC, Intel Core 7 150U, Long-Lasting Battery, Backlit Keyboard, w/Mouse (16GB RAM | 1TB SSD)",https://www.amazon.com/SAMSUNG-Business-Display-Long-Lasting-Keyboard/dp/B0DWSG1N27/,https://m.media-amazon.com/images/I/71+VyO9pKbL._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,Info not available,1 TB,Windows 11 Home
303,4.1,51.0,611.41,B0DT7PJ4MJ,"ASUS Vivobook 14 Laptop, 14” WUXGA 60Hz Display, Qualcomm Snapdragon X, Qualcomm Adreno GPU, 16GB RAM, 512GB SSD, Windows 11, Cool Silver, X1407QA-BS56",https://www.amazon.com/ASUS-Vivobook-Qualcomm-Snapdragon-X1407QA-BS56/dp/B0DT7PJ4MJ/,https://m.media-amazon.com/images/I/71bDn9todpL._AC_UY218_.jpg,FREE delivery,2026-03-23,14 inches,Info not available,512 GB,Windows 11 Home
304,3.8,133.0,84.99,B0DJN234KJ,"HP 11.5'' HD Brightview Chromebook, Intel Processor Up to 2.39GHz, 4GB Ram, 16GB Storage, Ultra-Fast WiFi, Chrome OS, Dale Black(Renewed)",https://www.amazon.com/HP-11-5-Brightview-Chromebook-Ultra-Fast/dp/B0DJN234KJ/,https://m.media-amazon.com/images/I/61k1b82OjjL._AC_UY218_.jpg,FREE delivery,2026-03-23,11.5 inches,Info not available,16 GB,Chrome OS
306,4.0,49.0,1199.99,B0FDN1GDRY,"acer Nitro V Gaming Laptop | Intel Core i9-13900H Processor | NVIDIA GeForce RTX 5060 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 16GB DDR4 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-98KV",https://www.amazon.com/i9-13900H-Processor-GeForce-Display-ANV15-52-98KV/dp/B0FDN1GDRY/,https://m.media-amazon.com/images/I/71lgxJKQZVL._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,Info not available,1000 GB,Windows 11 Home
307,4.332218844984803,392.06382978723406,269.99,B0G2595CB7,"Lenovo IdeaPad Slim 3i • 15.6"" FHD Laptop with Microsoft 365 Included • Intel 4 Cores • 1.1TB Storage (128GB SSD + 1TB OneDrive) • LPDDR5RAM • Privacy Shutter • Dolby Audio • Win 11",https://www.amazon.com/Lenovo-IdeaPad-Slim-3i-Microsoft/dp/B0G2595CB7/,https://m.media-amazon.com/images/I/712+tgEiQZL._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,4 GB,1.1 TB,Windows 11
308,4.5,605.0,299.99,B0FXH6J4KV,Acer Aspire Slim Laptop | 15.6'' Full HD Display | Powerful 8-Core Intel Core 3 N355 | 8GB RAM | 128GB SSD | Copilot AI Ready | Microsoft Office on the Web | HDMI | Wi-Fi 6 | Windows 11 | No Mouse |,https://www.amazon.com/Slim-Display-Powerful-Copilot-Microsoft/dp/B0FXH6J4KV/,https://m.media-amazon.com/images/I/61oVVTM3CpL._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,Info not available,128 GB,Windows 11
309,4.2,47.0,559.0,B0DQTYGBP8,"HP 17 Laptop (17.3"" FHD Anti-Glare, 16GB RAM, 512GB SSD, AMD Ryzen 5 7430U (> Intel i5-1334U)), Webcam, Long Battery Life, Fast Charge, Numeric Pad, Win 11 Pro w/ Copilot, Business & Student – Silver",https://www.amazon.com/HP-17-Anti-Glare-i7-1165G7-Enterprise/dp/B0DQTYGBP8/,https://m.media-amazon.com/images/I/71uY1ibL6SL._AC_UY218_.jpg,FREE delivery,2026-03-23,17.3 inches,16 GB,512 GB,Windows 11 Pro
310,4.4,164.0,319.99,B0FM5KF2F5,HP Ultrabook Laptop with Copilot AI & Office 365 • Intel 4-Core CPU • 1.1TB Storage (1TB OneDrive and 128GB SSD) • 8GB RAM • Windows 11 w/o Earbuds,https://www.amazon.com/HP-Ultrabook-Copilot-Storage-OneDrive/dp/B0FM5KF2F5/,https://m.media-amazon.com/images/I/71KLbSPDOsL._AC_UY218_.jpg,FREE delivery,2026-03-23,14 inches,8 GB,1.1 TB,Windows 11 Home
311,4.1,69.0,994.85,B0CHF298QR,"Dell 14 Plus Laptop DB14250-14-inch 16:10 2.5K (2560x1600) Display, Intel Core Ultra 7-258V, 32GB LPDDR5X RAM, 1TB SSD, Intel Arc Graphics, Backlit Copilot Key Keyboard, Windows 11 Home",https://www.amazon.com/Dell-Plus-Laptop-DB14250-14-inch-Previously/dp/B0CHF298QR/,https://m.media-amazon.com/images/I/71XP9wOi1fL._AC_UY218_.jpg,FREE delivery,2026-03-23,14 inches,32 GB,1 TB,Windows 11 Home
315,4.7,32.0,199.0,B0C9WYBZY1,"14 Inch Laptop Computer, 8GB RAM Laptop 128GB SSD, Quad-Core N5095 Processor, Win 11 Pro Laptop with HD Display, 2.4G/5G WiFi, Webcam, BT",https://www.amazon.com/WIPEMIK-Computer-LPDDR4X-Quad-Core-Processor/dp/B0C9WYBZY1/,https://m.media-amazon.com/images/I/71ssHKK-T8L._AC_UY218_.jpg,FREE delivery,2026-03-23,14.1 inches,8 GB,128 GB,Windows 11 Pro
318,4.4,377.0,230.71,B0F4GD28JM,"HP Chromebook 14 inch Laptop, HD Display, Intel Processor N100, 8 GB RAM, 128 GB UFS, UHD Graphics, Chrome OS, Chalkboard Gray, 14a-nf0099nr",https://www.amazon.com/HP-Chromebook-Processor-Chalkboard-14a-nf0099nr/dp/B0F4GD28JM/,https://m.media-amazon.com/images/I/714nDz6GxJL._AC_UY218_.jpg,FREE delivery,2026-03-23,14 inches,8 GB,128 GB,Chrome OS
320,3.9,15.0,1559.99,B0FQXPC5Y5,"msi Katana 15 HX 15.6” 165Hz QHD Gaming Laptop: Intel Core i7-14650HX, NVIDIA Geforce RTX 5070, 32GB DDR5, 1TB NVMe SSD, RGB Keyboard, Windows 11 Pro",https://www.amazon.com/msi-Katana-165Hz-Gaming-Laptop/dp/B0FQXPC5Y5/,https://m.media-amazon.com/images/I/71TvKdAmIjL._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,32 GB,1 TB,Windows 11 Pro
328,4.2,23.0,363.04,B0DT145QS6,"HP 15.6"" HD Touch Screen Laptop | Intel Core i3-1215U (6 Cores, 8 Threads) | Intel UHD Graphics | Silver | 8GB RAM | 256GB SSD | Windows 11 S | Bundle with Stylus Pen",https://www.amazon.com/HP-i3-1215U-Threads-Graphics-Windows/dp/B0DT145QS6/,https://m.media-amazon.com/images/I/518FIYxlS2L._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,8 GB,256 GB,Windows 11 S
329,3.6,20.0,412.99,B0DX7MNBS8,"Dell Latitude 7320 7000 (2023) 13.3"" FHD Touch (Intel Core i7-1185G7 vPro, 16GB RAM, 1TB NVMe SSD) Business Laptop, IR Webcam, Backlit, Thunderbolt 4, Win 11 Pro (Renewed)",https://www.amazon.com/Dell-Latitude-7320-i7-1185G7-Thunderbolt/dp/B0DX7MNBS8/,https://m.media-amazon.com/images/I/51gMVzZx+TL._AC_UY218_.jpg,FREE delivery,2026-03-23,13.3 inches,Info not available,1 TB,Windows 11 Pro
334,4.7,190.0,1799.0,B0FWD726XF,"Apple 2025 MacBook Pro Laptop with M5 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 1TB SSD Storage; Space Black",https://www.amazon.com/dp/B0FWD726XF/,https://m.media-amazon.com/images/I/6112T6g2P-L._AC_UY218_.jpg,FREE delivery,2026-03-23,14.2 inches,24 GB,1 TB,Mac OS
335,4.8,2500.0,1299.0,B0DZD8BT7N,"Apple 2025 MacBook Air 15-inch Laptop with M4 chip: Built for Apple Intelligence, 15.3-inch Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue",https://www.amazon.com/dp/B0DZD8BT7N/,https://m.media-amazon.com/images/I/71FsB1FaZ7L._AC_UY218_.jpg,FREE delivery,2026-03-23,15.3 inches,24 GB,512 GB,Mac OS
